datetime,Date,TimeStamp,Open,High,Low,Close,Volume,average0,moving_average150,price_ref,Orders,Amounts,Modulators
2021-05-21 20:00:00,2021-05-21 20:00:00,1621641600000.0,37263.35,38829.0,35200.62,37449.73,126542.243689,37356.54,47306.752433333335,47306.752433333335,1.0,41.241926416567736,4.124192641656774
2021-05-22 20:00:00,2021-05-22 20:00:00,1621728000000.0,37458.51,38270.64,31111.01,34655.25,217136.046593,36056.880000000005,47390.593,47390.593,1.0,51.54944468850279,5.154944468850279
2021-05-23 20:00:00,2021-05-23 20:00:00,1621814400000.0,34681.44,39920.0,34031.0,38796.29,161630.893971,36738.865000000005,47474.04723333333,47474.04723333333,1.0,46.55680127048533,4.655680127048533
2021-05-24 20:00:00,2021-05-24 20:00:00,1621900800000.0,38810.99,39791.77,36419.62,38324.72,111996.228404,38567.854999999996,47560.48006666666,47560.48006666666,1.0,35.16612080890063,3.516612080890063
2021-05-25 20:00:00,2021-05-25 20:00:00,1621987200000.0,38324.72,40841.0,37800.44,39241.91,104780.773396,38783.315,47643.11863333333,47643.11863333333,1.0,34.36620098343877,3.436620098343877
2021-05-26 20:00:00,2021-05-26 20:00:00,1622073600000.0,39241.92,40411.14,37134.27,38529.98,86547.158794,38885.95,47724.48846666666,47724.48846666666,1.0,34.17365354595433,3.4173653545954332
2021-05-27 20:00:00,2021-05-27 20:00:00,1622160000000.0,38529.99,38877.83,34684.0,35663.49,135377.62972,37096.74,47790.252,47790.252,1.0,45.711076196562175,4.5711076196562175
2021-05-28 20:00:00,2021-05-28 20:00:00,1622246400000.0,35661.79,37338.58,33632.76,34605.15,112663.092689,35133.47,47836.94,47836.94,1.0,63.716817266756074,6.371681726675607
2021-05-29 20:00:00,2021-05-29 20:00:00,1622332800000.0,34605.15,36488.0,33379.0,35641.27,73535.386967,35123.21,47878.430799999995,47878.430799999995,1.0,64.16146130814518,6.416146130814518
2021-05-30 20:00:00,2021-05-30 20:00:00,1622419200000.0,35641.26,37499.0,34153.84,37253.81,94160.735289,36447.535,47927.229966666666,47927.229966666666,1.0,51.6993405675965,5.16993405675965
2021-05-31 20:00:00,2021-05-31 20:00:00,1622505600000.0,37253.82,37894.81,35666.0,36693.09,81234.66377,36973.455,47968.686233333334,47968.686233333334,1.0,47.68773914594928,4.768773914594928
2021-06-01 20:00:00,2021-06-01 20:00:00,1622592000000.0,36694.85,38225.0,35920.0,37568.68,67587.372495,37131.765,47998.976333333325,47998.976333333325,1.0,46.65715922422607,4.665715922422607
2021-06-02 20:00:00,2021-06-02 20:00:00,1622678400000.0,37568.68,39476.0,37170.0,39246.79,75889.106011,38407.735,48038.3987,48038.3987,1.0,38.284145217516546,3.8284145217516548
2021-06-03 20:00:00,2021-06-03 20:00:00,1622764800000.0,39246.78,39289.07,35555.15,36829.0,91317.799245,38037.89,48072.18703333333,48072.18703333333,1.0,40.74410432289592,4.074410432289592
2021-06-04 20:00:00,2021-06-04 20:00:00,1622851200000.0,36829.15,37925.0,34800.0,35513.2,70459.62149,36171.175,48077.59856666667,48077.59856666667,1.0,55.14179516959399,5.514179516959399
2021-06-05 20:00:00,2021-06-05 20:00:00,1622937600000.0,35516.07,36480.0,35222.0,35796.31,47650.206637,35656.19,48061.30103333333,48061.30103333333,1.0,59.97407064028643,5.997407064028643
2021-06-06 20:00:00,2021-06-06 20:00:00,1623024000000.0,35796.31,36900.0,33300.0,33552.79,77574.952573,34674.55,48025.74706666666,48025.74706666666,1.0,70.5959479315524,7.05959479315524
2021-06-07 20:00:00,2021-06-07 20:00:00,1623110400000.0,33556.96,34068.01,31000.0,33380.81,123251.189037,33468.884999999995,47979.955700000006,47979.955700000006,1.0,86.7983741180962,8.67983741180962
2021-06-08 20:00:00,2021-06-08 20:00:00,1623196800000.0,33380.8,37534.79,32396.82,37388.05,136607.597517,35384.425,47955.057733333335,47955.057733333335,1.0,61.96317358108607,6.196317358108606
2021-06-09 20:00:00,2021-06-09 20:00:00,1623283200000.0,37388.05,38491.0,35782.0,36675.72,109527.284943,37031.885,47956.755333333334,47956.755333333334,1.0,47.167606254462584,4.716760625446258
2021-06-10 20:00:00,2021-06-10 20:00:00,1623369600000.0,36677.83,37680.4,35936.77,37331.98,78466.0053,37004.905,47971.916000000005,47971.916000000005,1.0,47.46425030509449,4.746425030509449
2021-06-11 20:00:00,2021-06-11 20:00:00,1623456000000.0,37331.98,37463.63,34600.36,35546.11,87717.54999,36439.045,47976.77453333333,47976.77453333333,1.0,52.09359919159826,5.209359919159826
2021-06-12 20:00:00,2021-06-12 20:00:00,1623542400000.0,35546.12,39380.0,34757.0,39020.57,86921.025555,37283.345,47970.277233333334,47970.277233333334,1.0,45.36742736792902,4.536742736792902
2021-06-13 20:00:00,2021-06-13 20:00:00,1623628800000.0,39020.56,41064.05,38730.0,40516.29,108522.391949,39768.425,47982.441966666665,47982.441966666665,1.0,30.85060830921574,3.085060830921574
2021-06-14 20:00:00,2021-06-14 20:00:00,1623715200000.0,40516.28,41330.0,39506.4,40144.04,80679.622838,40330.16,48008.86833333333,48008.86833333333,1.0,28.454381075641457,2.8454381075641457
2021-06-15 20:00:00,2021-06-15 20:00:00,1623801600000.0,40143.8,40527.14,38116.01,38349.01,87771.976937,39246.405,48031.09906666667,48031.09906666667,1.0,33.59973556821553,3.359973556821553
2021-06-16 20:00:00,2021-06-16 20:00:00,1623888000000.0,38349.0,39559.88,37365.0,38092.97,79541.307119,38220.985,48044.38476666667,48044.38476666667,1.0,39.44977835023123,3.9449778350231224
